,Player,Pos,gameweek,pWAS,ww_pWAS,WAR
44,Michael Keane,D,2,0.0652,-0.02946666666666668,0.09466666666666668
48,Matthew Cash,D,2,0.05973333333333334,-0.02946666666666668,0.08920000000000002
32,Michail Antonio,M,2,0.022866666666666664,-0.06176666666666667,0.08463333333333334
34,Dwight McNeil,M,2,0.021849999999999963,-0.06176666666666667,0.08361666666666663
41,Scott McTominay,M,2,0.015066666666666673,-0.06176666666666667,0.07683333333333334
40,Trezeguet,M,2,0.013966666666666683,-0.06176666666666667,0.07573333333333335
43,Bruno Fernandes,M,2,0.009083333333333332,-0.06176666666666667,0.07085
56,Ryan Fredericks,D,2,0.04066666666666666,-0.02946666666666668,0.07013333333333334
29,Chris Wood,F,2,-0.021166666666666684,-0.09125,0.07008333333333332
57,Andrew Robertson,D,2,0.04059999999999997,-0.02946666666666668,0.07006666666666665
28,Gabriel Jesus,F,2,-0.02278333333333334,-0.09125,0.06846666666666666
61,Adam Webster,D,2,0.03736666666666666,-0.02946666666666668,0.06683333333333334
45,Daniel Podence,M,2,0.003999999999999985,-0.06176666666666667,0.06576666666666665
60,Lewis Dunk,D,2,0.036199999999999975,-0.02946666666666668,0.06566666666666665
30,Aaron Connolly,F,2,-0.026600000000000013,-0.09125,0.06464999999999999
62,Ben White,D,2,0.033033333333333324,-0.02946666666666668,0.0625
47,James Ward-Prowse,M,2,-0.001966666666666672,-0.06176666666666667,0.0598
31,Pierre-Emerick Aubameyang,F,2,-0.03311666666666666,-0.09125,0.058133333333333335
50,Moussa Djenepo,M,2,-0.004033333333333351,-0.06176666666666667,0.05773333333333332
33,Roberto Firmino,F,2,-0.03583333333333331,-0.09125,0.05541666666666669
65,Tyrick Mitchell,D,2,0.024733333333333385,-0.02946666666666668,0.05420000000000007
51,Kalvin Phillips,M,2,-0.007749999999999997,-0.06176666666666667,0.05401666666666667
64,Joe Bryan,D,2,0.024366666666666648,-0.02946666666666668,0.05383333333333333
55,Declan Rice,M,2,-0.014216666666666674,-0.06176666666666667,0.047549999999999995
54,N'Golo Kante,M,2,-0.014300000000000016,-0.06176666666666667,0.04746666666666666
38,Mohamed Salah,F,2,-0.04385,-0.09125,0.0474
58,Youri Tielemans,M,2,-0.016166666666666663,-0.06176666666666667,0.04560000000000001
70,Joel Ward,D,2,0.015849999999999993,-0.02946666666666668,0.04531666666666667
71,Virgil van Dijk,D,2,0.014866666666666695,-0.02946666666666668,0.04433333333333338
72,Caglar Soyuncu,D,2,0.011766666666666667,-0.02946666666666668,0.041233333333333344
59,Josh Brownhill,M,2,-0.020816666666666667,-0.06176666666666667,0.04095
76,Kyle Walker-Peters,D,2,0.007416666666666664,-0.02946666666666668,0.036883333333333344
46,Adama Traore,F,2,-0.05811666666666667,-0.09125,0.03313333333333333
81,Rob Holding,D,2,0.0032166666666666455,-0.02946666666666668,0.03268333333333333
49,Jordan Ayew,F,2,-0.06223333333333333,-0.09125,0.02901666666666667
85,Fernandinho,D,2,-0.003150000000000005,-0.02946666666666668,0.026316666666666676
84,Enda Stevens,D,2,-0.003500000000000003,-0.02946666666666668,0.025966666666666676
90,Hector Bellerin,D,2,-0.004916666666666662,-0.02946666666666668,0.024550000000000016
92,Robin Koch,D,2,-0.005250000000000014,-0.02946666666666668,0.024216666666666664
68,Harrison Reed,M,2,-0.03783333333333335,-0.06176666666666667,0.02393333333333332
88,Arthur Masuaku,D,2,-0.005683333333333318,-0.02946666666666668,0.02378333333333336
67,Fabinho,M,2,-0.03805000000000001,-0.06176666666666667,0.023716666666666664
66,Jack Grealish,M,2,-0.038483333333333335,-0.06176666666666667,0.023283333333333336
91,Matt Targett,D,2,-0.006249999999999996,-0.02946666666666668,0.023216666666666684
89,Reece James,D,2,-0.007766666666666662,-0.02946666666666668,0.021700000000000018
98,Willy Boly,D,2,-0.009266666666666664,-0.02946666666666668,0.020200000000000017
52,Raul Jimenez,F,2,-0.07123333333333333,-0.09125,0.02001666666666667
53,Alexandre Lacazette,F,2,-0.0715,-0.09125,0.019750000000000004
100,Davinson Sanchez,D,2,-0.011099999999999999,-0.02946666666666668,0.01836666666666668
101,Mamadou Sakho,D,2,-0.011816666666666661,-0.02946666666666668,0.01765000000000002
105,Aaron Cresswell,D,2,-0.0131,-0.02946666666666668,0.01636666666666668
99,Jack O'Connell,D,2,-0.013383333333333358,-0.02946666666666668,0.01608333333333332
107,Chris Basham,D,2,-0.016783333333333334,-0.02946666666666668,0.012683333333333345
79,Conor Hourihane,M,2,-0.05135000000000001,-0.06176666666666667,0.010416666666666664
78,James McArthur,M,2,-0.051416666666666645,-0.06176666666666667,0.010350000000000026
80,Douglas Luiz,M,2,-0.05178333333333333,-0.06176666666666667,0.009983333333333344
115,Matt Doherty,D,2,-0.020449999999999986,-0.02946666666666668,0.009016666666666694
75,Paul Pogba,M,2,-0.05348333333333333,-0.06176666666666667,0.008283333333333344
63,Timo Werner,F,2,-0.08414999999999999,-0.09125,0.007100000000000009
123,George Baldock,D,2,-0.022650000000000003,-0.02946666666666668,0.006816666666666676
119,Eric Dier,D,2,-0.022716666666666663,-0.02946666666666668,0.006750000000000016
122,Gabriel Magalhaes,D,2,-0.02278333333333334,-0.02946666666666668,0.00668333333333334
